[2026-03-03 05:12:50 | INFO | fastgen.callbacks.param_count:on_train_begin:86] net (CausalVACEWan) has 538.39 M trainable and 538.39 M total params LOCAL on rank 2.
[2026-03-03 05:12:50 | INFO | fastgen.callbacks.param_count:on_train_begin:86] net (CausalVACEWan) has 538.39 M trainable and 538.39 M total params LOCAL on rank 3.
[2026-03-03 05:12:50 | INFO | fastgen.callbacks.param_count:on_train_begin:79] fake_score (VACEWan) has 2153.97 M trainable and 2153.97 M total params (logical).
[2026-03-03 05:12:50 | INFO | fastgen.callbacks.param_count:on_train_begin:86] fake_score (VACEWan) has 538.81 M trainable and 538.81 M total params LOCAL on rank 0.
[2026-03-03 05:12:50 | INFO | fastgen.callbacks.param_count:on_train_begin:86] fake_score (VACEWan) has 538.39 M trainable and 538.39 M total params LOCAL on rank 1.
[2026-03-03 05:12:50 | INFO | fastgen.callbacks.param_count:on_train_begin:86] fake_score (VACEWan) has 538.39 M trainable and 538.39 M total params LOCAL on rank 2.
[2026-03-03 05:12:50 | INFO | fastgen.callbacks.param_count:on_train_begin:86] fake_score (VACEWan) has 538.39 M trainable and 538.39 M total params LOCAL on rank 3.
[2026-03-03 05:12:50 | INFO | fastgen.callbacks.param_count:on_train_begin:79] discriminator (FSDPDiscriminator_VideoDiT) has 707.91 M trainable and 707.91 M total params (logical).
[2026-03-03 05:12:50 | INFO | fastgen.callbacks.param_count:on_train_begin:86] discriminator (FSDPDiscriminator_VideoDiT) has 176.98 M trainable and 176.98 M total params LOCAL on rank 0.
[2026-03-03 05:12:50 | INFO | fastgen.callbacks.param_count:on_train_begin:86] discriminator (FSDPDiscriminator_VideoDiT) has 176.98 M trainable and 176.98 M total params LOCAL on rank 1.
[2026-03-03 05:12:50 | INFO | fastgen.callbacks.param_count:on_train_begin:86] discriminator (FSDPDiscriminator_VideoDiT) has 176.98 M trainable and 176.98 M total params LOCAL on rank 2.
[2026-03-03 05:12:50 | INFO | fastgen.callbacks.param_count:on_train_begin:86] discriminator (FSDPDiscriminator_VideoDiT) has 176.98 M trainable and 176.98 M total params LOCAL on rank 3.
[2026-03-03 05:12:50 | INFO | fastgen.trainer:run:179] iter_start: 0
[2026-03-03 05:13:07 | SUCCESS | fastgen.networks.VaceWan.modules.vace_depth_annotator:__init__:49] Loaded Depth Anything V2 model from /mnt/data/models/annotators/depth_anything_v2_vitl.pth. Loading info: <All keys matched successfully>
[2026-03-03 05:13:13 | INFO | fastgen.networks.Wan.network_causal:_create_external_caches:762] creating external caches when self-forcing (or student-forcing) is enabled
[2026-03-03 05:13:13 | INFO | fastgen.networks.VaceWan.network_causal:_create_external_caches_vace:193] creating external caches when self-forcing (or student-forcing) is enabled in vace
[2026-03-03 05:13:37 | INFO | fastgen.trainer:train_step:352] VRAM backward (fake_score+disc): before=131.42 GB, peak=132.03 GB, delta=0.60 GB
[2026-03-03 05:14:03 | INFO | fastgen.trainer:train_step:352] VRAM backward (fake_score+disc): before=133.82 GB, peak=134.40 GB, delta=0.58 GB
[2026-03-03 05:14:31 | INFO | fastgen.trainer:train_step:352] VRAM backward (fake_score+disc): before=133.82 GB, peak=134.39 GB, delta=0.58 GB
[2026-03-03 05:14:57 | INFO | fastgen.trainer:train_step:352] VRAM backward (fake_score+disc): before=133.82 GB, peak=134.39 GB, delta=0.58 GB
[2026-03-03 05:15:24 | INFO | fastgen.trainer:train_step:352] VRAM backward (fake_score+disc): before=133.82 GB, peak=134.39 GB, delta=0.58 GB
[2026-03-03 05:15:53 | INFO | fastgen.trainer:train_step:352] VRAM backward (fake_score+disc): before=133.82 GB, peak=134.39 GB, delta=0.58 GB
[2026-03-03 05:16:22 | INFO | fastgen.trainer:train_step:352] VRAM backward (fake_score+disc): before=133.82 GB, peak=134.39 GB, delta=0.58 GB
[2026-03-03 05:16:49 | INFO | fastgen.trainer:train_step:352] VRAM backward (fake_score+disc): before=133.82 GB, peak=134.39 GB, delta=0.58 GB
[2026-03-03 05:17:16 | INFO | fastgen.trainer:train_step:352] VRAM backward (fake_score+disc): before=133.82 GB, peak=134.39 GB, delta=0.58 GB
[2026-03-03 05:17:43 | INFO | fastgen.trainer:train_step:352] VRAM backward (fake_score+disc): before=133.82 GB, peak=134.39 GB, delta=0.58 GB
[2026-03-03 05:18:13 | INFO | fastgen.trainer:train_step:352] VRAM backward (fake_score+disc): before=133.81 GB, peak=134.39 GB, delta=0.58 GB
[2026-03-03 05:18:45 | INFO | fastgen.trainer:train_step:352] VRAM backward (fake_score+disc): before=133.82 GB, peak=134.39 GB, delta=0.58 GB
[2026-03-03 05:19:11 | INFO | fastgen.trainer:train_step:352] VRAM backward (fake_score+disc): before=133.82 GB, peak=134.39 GB, delta=0.58 GB
[2026-03-03 05:19:40 | INFO | fastgen.trainer:train_step:352] VRAM backward (fake_score+disc): before=133.82 GB, peak=134.39 GB, delta=0.58 GB
[2026-03-03 05:20:07 | INFO | fastgen.trainer:train_step:352] VRAM backward (fake_score+disc): before=133.82 GB, peak=134.39 GB, delta=0.58 GB
[2026-03-03 05:20:35 | INFO | fastgen.trainer:train_step:352] VRAM backward (fake_score+disc): before=133.82 GB, peak=134.41 GB, delta=0.60 GB
[2026-03-03 05:20:36 | INFO | fastgen.callbacks.gpu_stats:log_prof_data:45] GPU stats:
                                 Avg         Max         Min
cpu_mem_gb                 43.156004   48.114464   38.549534
peak_gpu_mem_gb           134.414550  134.416630  134.412754
peak_gpu_mem_reserved_gb  137.815430  138.060547  137.310547
util                       10.000000   13.000000    6.000000
[2026-03-03 05:20:36 | INFO | fastgen.callbacks.train_profiler:on_training_step_end:123] 1 : data loading time        22.54
[2026-03-03 05:20:36 | INFO | fastgen.callbacks.train_profiler:on_training_step_end:124] 1 : avg forward pass time    16.89
[2026-03-03 05:20:36 | INFO | fastgen.callbacks.train_profiler:on_training_step_end:125] 1 : backward pass time       4.92
[2026-03-03 05:20:36 | INFO | fastgen.callbacks.train_profiler:on_training_step_end:126] 1 : optimizer step time      0.59
[2026-03-03 05:20:36 | INFO | fastgen.callbacks.wandb:log_stats:354] logging train stats at iteration 1--------------------
[2026-03-03 05:20:36 | INFO | fastgen.callbacks.wandb:get_stat:179] avg_total_loss: 1.4277        iter count: 1.0
[2026-03-03 05:20:36 | INFO | fastgen.callbacks.wandb:get_stat:179] avg_fake_score_loss: 0.0116   iter count: 1.0
[2026-03-03 05:20:36 | INFO | fastgen.callbacks.wandb:get_stat:179] avg_gan_loss_disc: 1.4180     iter count: 1.0
[2026-03-03 05:20:48 | INFO | fastgen.callbacks.wandb:on_training_step_end:384] WandB logging complete after 12.05 seconds
[2026-03-03 05:21:14 | INFO | fastgen.trainer:train_step:352] VRAM backward (fake_score+disc): before=134.30 GB, peak=134.88 GB, delta=0.57 GB
[2026-03-03 05:37:54 | INFO | fastgen.trainer:run:81] Initializing callbacks and model ...
[2026-03-03 05:37:54 | INFO | fastgen.trainer:run:96] Starting model.on_train_begin ...
[2026-03-03 05:38:27 | INFO | fastgen.methods.model:on_train_begin:302] Teacher check: add_teacher_to_fsdp_dict=True, fsdp_dict keys=['net', 'fake_score', 'discriminator', 'teacher'], teacher in fsdp_dict=True
[2026-03-03 05:38:29 | INFO | fastgen.trainer:run:100] model.on_train_begin completed
[2026-03-03 05:38:29 | INFO | fastgen.trainer:run:111] Wrapping model into fsdp ..
